V1,Source,Q118_4,Q118_5,Q118_6,Q118_7,Q118_8,Q118_9,Q118_10,Q118_11,Q118_12,Q118_13,Q118_14,Q118_15,Q118_16,Q118_17,Q118_18,Q118_19,Q118_20,Q118_21,YEAR
R_aYiTSfPHj0QZYjj,0,3,3,3,3,3,3,2,3,3,3,3,2,2,4,3,2,2,3,2015
R_8Hyb6eD0NDUhPgN,0,3,3,2,2,2,3,2,3,3,2,3,2,2,3,2,3,3,2,2015
R_5gpAZu4E4B8Z0y1,0,4,2,3,1,4,4,1,3,4,1,4,2,1,3,1,1,4,1,2015
R_1Cb3oCvXNpSGeCp,0,3,1,3,1,2,3,1,3,2,1,3,1,1,2,1,3,1,1,2015
R_4NI8Ozzb4slm7mB,0,3,2,4,1,3,4,3,2,2,2,4,2,3,4,2,3,4,1,2015
R_3rSbHWGSvEtIRKd,0, , , , , , , , , , , , , , , , , , ,2015
R_6eVdGWYtS208AO9,0,4,1,1,2,4,4,2,2,2,1, ,1,1,3,4,4,2,2,2015
R_e5TJ9JunRRsiNBH,0,3,2,2,1,2,2,2,3,3,2,3,1,2,2,3,3,2,2,2015
R_cMImorIGgJN2rml,0,4,1,3,1,3,4,1,4,3,1,4,2,1,3,2,2,3,2,2015
R_9BKhF9XpVHGF6L3,0,3,3,2,1,1,4,2,2,2,1,3,1,1,3,2,2,4,2,2015
R_9LG41IaX1tHvYH3,0,4,1,4,1,4,4,1,4,4,1,4,1,1,4,1,4,4,1,2015
R_37CKxsYOmZMw2X3,0,3,1,2,1,3,2,2,3,3,1,2,1,1,1,2,2,1,1,2015
R_eWlLoa9ivCgOYo5,0,3,3,2,2,2,3,2,3,2,1,3,2,2,2,2,2,2,1,2015
R_d75wniOcVACruPr,0,3,3,1,3,4,3,2,1,2,1,3,2,3,2,3,1,2,4,2015
R_6xLHXxSSfTSA8cd,0,4,1,3,2,4,3,1,4,3,1,4,2,2,3,4,2,3,1,2015
R_daMNghaIcwIPWlf,0,3,3,2,1,3,4,1,4,2,1,3,1,2,2,1,4,4,1,2015
R_4SWVysHc2UDZgAR,0,3,2,2,1,2,3,1,3,3,1,3,1,2,2,1,3,3,2,2015
R_5oJn3J1Rx0cf84l,0,3,4,3,2,2,3,1,2,3,1,3,2,3,2,2,1,1,2,2015
R_3JEW79FqLLU4Idv,0,4,2,2,1,2,3,1,3,3,1,4,1,2,2,2,3,2,1,2015
R_cuXgfJNmhTZzHil,0,3,2,3,1,2,2,1,3,2,3,3,2,3,3,4,3,3,2,2015
R_51F5sTDWL1rAlMh,0,3,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,4,1,2015
R_50BAK20lkRRJSvj,0,4,4,4,1,3,4,1,4,4,1,4,1,2,4,1,3,4,1,2015
R_5iI06RtDnLEtGPX,0,3,4,3,4,4,4,1,3,3,2,4,2,4,1,4,1,1,2,2015
R_1AGz3g3beU4CzaJ,0,3,3,4,2,2,4,1,3,2,1,4,3,2,3,4,4,3,1,2015
R_dhuAHtO5MMYqG0t,0,4,2,4,1,2,3,1,2,2,1,4,1,2,2,1,2,2,1,2015
R_ez03rIKDEWpeONL,0,4,2,2,1,3,4,1,1,2,2,3,1,3,2,1,2,1,3,2015
R_2fUpQQYLOZ11gr3,0,1,2,3,1,3,2,1,2,2,3,2,2,1,1,1,2,3,1,2015
R_dhS14S0FMTGYCtT,0,3,2,2,3,4,3,2,3,1,1,4,2,1,3,3,3,3,2,2015
R_czJgVGxDJEzBRvn,0,3,2,3,2,2,3,2,3,3,1,3,2,3,2,2,3,2,1,2015
R_8Cf6GPE4HYhr3Ux,0,1,2, ,1,1,3,2,2,2,1,3,3,3,1,3,2,1,1,2015
R_d0Svj2TqRVEuHEF,0,4,1,3,2,3,2,2,3,3,2,4,2,1,3,2,3,2,1,2015
R_7U9fO5o82fi4tFP,0,4,1,3,1,3,3,1,4,3,1,4,1,1,4,1,3,4,2,2015
R_e4dRMilPvaHLD5H,0,4,2,3,1,2,4,1,4,4,2,4,1,1,3,1,3,3,1,2015
R_3Qm3B4Lz7E9iOhf,0,2,2,3,3,1,2,4,4,2,4,2,3,2,2,4,3,2,1,2015
R_cx9uBomM1QPtdZP,0,3,3,3,2,3,3,1,2,3,1,4,3,3,3,2,1,2,1,2015
R_0IIWkJTKBeKBcjP,0,2,2,2,2,4,4,1,3,2,2,3,1,1,1,2,1,1,2,2015
R_0wyXNdPf9tVheZf,0,3,2,2,1,2,3,1,2,2,1,3,1,2,3,3,3,3,2,2015
R_6W0AocmAy2Q2D0F,0,4,1,4,1,3,4,1,4,4,1,3,1,1,4,1,4,4,1,2015
R_2c3ILfKtBug00df,0,1,1,2,1,4,2,3,4,1,1,2,1,1,1,1,1,3,1,2015
R_1KUxys1rOvPCK1v,0,4,2,4,1,4,2,1,3,3,1,4,1,1,3,1,2,3,1,2015
R_e3UA2zp1M8FUvuB,0,3,4,4,2,3,4,1, ,3,1,3,2,4,3,1,1,2,1,2015
R_3VGKB0RmkAIXpuB,0,4,3,2,2,3, ,2,3,3,3,3,2,2,3,3, ,4,3,2015
R_9LfCTSyuHXUwpc9,0,3,1,2,1,3,2,1,4,3,1,4,1,1,1,2,3,3,1,2015
R_0cYsHL3c7yxsrNX,0,3,1,3,2,4,3,1,4,3,1,3,2,4,3,2,3,4,2,2015
R_0SQeqip4xl1bEC9,0,3,3,4,2,2,3,1,4,3,1,4,2,2,4,1,3,4,1,2015
R_1FUv7KYwdlaR4PP,0,4,3,3,1,2,4,1,3,3,2,4,2,2,3,1,2,4,3,2015
R_8cckOUIF6rRODOt,0,4,1,4,1,2,4,1,4,4,1,4,1,2,4,1,4,4,1,2015
R_6VjQxHUNt2UDtwV,0,4,2,4,2,4,3,1,4,3,1,4,2,2,3,1,4,4,1,2015
R_5hyuNWTPIznT2hT,0,3,3,2,2,1,3,2,4,3,1,4,1,2,1,1,2,1,3,2015
R_0D7up01nkBtbSND,0,4,1,3,1,4,3, ,3,3,1,4,2,2,3,2,3,3,1,2015
R_3Q1zn5X5D9YC0Lz,0,4,4,4,1,4,4,1,2,4,3,4,1,3,3,1,1,3,1,2015
R_6A4w8fofSMgQQRL,0,3,2,4, ,2,3,1,3,3,1,4,1,1,4,1,3,4,1,2015
R_3CSlqCNzPS2l4d7,0,3,3,4,1,3,4,2,4,3,1,3,1,2,3,2,4,4,1,2015
R_doLAqpDB1HXfee1,0,3,4,4,2,2,3,1,4,4,2,3,1,1,2,3,3,2,2,2015
R_8IaAtuVMep6gv1X,0,3,2,3,2,2,2,1,4,2,3,1,2,2,1,3,2,2,2,2015
R_3eMcE18b7qYkiMZ,0,4,2,3,1,2,3,1,4,4,1,4,1,1,4,1,3,4,3,2015
R_1XoYlIso6Q9IuLX,0,4,2,4,1,3,4,1,4,3,1,4,1,2,4,1,4,3,2,2015
R_e98b4kCF0HjFkAR,0,3,3,2,1,1,2,1,1,3,1,4,2,2,3,1,2,3,2,2015
R_bHMvx0mpvciKkXX,0,3,2,3,1,3,3,1,2,3,2,3,2,2,2,1,2,3,1,2015
R_3QciUVeqq6SS3bv,0,3,4,4,2,3,3,2,2,2,1,4,2,3,2,3,2,2,2,2015
R_2blyhEQJGESnZUp,0,2,2,2,2,1,1,2,2,2,2,2,2,3,2,1,2,2,2,2015
R_9TWzAny4qBQvg3z,0,4,2,2,2,3,3,2,3,2,1,4,2,2,2,1,3,3,2,2015
R_1B8EKYOtV8rz1Zz,0,3,3,3,1,3,3,1,3,4,3,3,1,2,3,1, ,3,1,2015
R_d6XoHyxsS3WDRAN,0,3,4,3,2,2,3,1,2,4,2,3,3,4,2,2,3,2,1,2015
R_bI4ZcPHmgmTjXKt,0,3,3,3,1,4,3,2,2,3,2,3,1,1,1,2,3,2,2,2015
R_bOQ1YWtpECg0Ujb,0,3,2,3,1,2,3,1,3,3,1,3,1,2,3,1,3,3,1,2015
R_1S2FfCVWfneNgQR,0,4,4,3,2,2,2,1,3,3,1,3,2,2,3,2,3,3,1,2015
R_e3dXBTKQRvJijKR,0,3,4,1,2,3,3,1,3,2,1,4,1,4,2,1,2,3,3,2015
R_5A0lIGqUgAs6vE9,0,2,4,4,1,1,1,2,2,3,1,3,2,4,4,1,3,1,1,2015
R_9SIOkdk5mtx2cYJ,0,3,3,2,1,2,3,1,3,3,2,2,2,2,1,1,2,1,2,2015
R_eF31GqcehCe0izz,0,3,2,2,1,2,3,1,3,2,1,4,1,2,1,1,1,1,1,2015
R_2b2Mvbr47KA03VH,0,3,2,2,2,3,2,1,3,2,1,3,1,2,1,2,2,1,1,2015
R_dm7EmL1P093QlVP,0,2,4,3,1,4,3,1,3,3,1,4,2,3,3,1,2,3,1,2015
R_afrUqvS0fchQ3TT,0,4,1,2,1,2,4,1,4,3,1,4,1,1,3,1,4,3,1,2015
R_7aFWtkGlAsEskT3,0,4,4,4,2,2,4,1,2,4,1,4,1,2,4,1,3,4,1,2015
R_3Q3eynLNU96FnLf,0,4,3,3,1,4,4,1,3,4,1,4,1,3,4,1,4,3,1,2015
R_418NKwvlPjIiYy9,0,2,2,3,3,2,2,2,3,3,1,2,2,3,3,4,2,1,3,2015
R_cur8PmlwXkoSS9L,0,3,1,3,1,2,3,1,4,2,1,3,2,2,1,1,4,3,1,2015
R_0U81UivqMHUeXjf,0,3,3,4,1,1,3,1,3,3,1,3,1,1,4,1,4,4,1,2015
R_eW374PDgzb2HLGR,0,3,2,3,1,2,3,1,2,3,2,4,1,2,3,1,3,3,1,2015
R_55pv1cq4wV9hHYF,0,1,1,2,1,3,3,2,4,2,1,2,1,1,2,4,2,1,1,2015
R_5AWhuM4AlY6ugsd,0,3,4,1,3,4,3,4,3,2,2,3,1,3,2,2,3,1,2,2015
R_eECHyTifEREUkuh,0,3,2,2,2,2,3,2,3,2,3,3,2,3,2,3,3,3,3,2015
R_79BLzZd3YlR2Hel,0,3,2,3,1,2,3,1,3,3,1,3,1,1,3,1,3,3,2,2015
R_73g1WaZGzgGaTKR,0,3,1,2,1,2,2,1,2,3,1,4,2,1,2,3,1,2,1,2015
R_dmwItxPvjasIajz,0,4,1,3,1,3,3,2,2,3,2,4,2,2,3,2,3,3,1,2015
R_2rWAk64hxvRj42x,0,4,2,4,1,4,3,1,4,2,1,4,1,2,2,1,1,2,1,2015
R_eWHGYj0K4vsbAln,0,4,3,3,2,3,4,1,2,2,1,4,1,3,3,1,4,3,1,2015
R_blJhmc9qSnu0GS9,0,4,3,4,3,4,4,3,4,3,3,4,3,4,3,2,2,2,3,2015
R_9sKvREPR5ElEVvf,0,3,2,3,2,4,1,2,4,3,2,4,2,2,1,2,1,1,1,2015
R_6KhyVhwe8mwREoZ,0,3,4,2,1,4,4,1,1,4,1,4,1,4,2,1,4,1,1,2015
R_2u8I6D2RTjLaSgd,0,3,4,4,2,3,2,1,2,2,1,3,1,2,3,1,1,3,1,2015
R_dgJDSaUoSZ70r2d,0,3,1,3,1,3,2,1,3,3,2,4,2,2,4,2,2,3,3,2015
R_bPbyj3GkS5ZY65D,0,3,2,3,1,2,3,1,4,4,1,4,1,2,4,1,3,4,3,2015
R_40DjFl8NU2SPwUJ,0,2,3,4,2,2,3,3,3,3,4,2,4,2,3,1,3,2,2,2015
R_7aCHPvT6CH9xC4d,0,3,2,4,1,4,3,1,3,3,2,4,2,3,3,3,3,3,1,2015
R_9mq3PdXCztKmUxn,0,3,3,3,3,3,3,3,4,4,4,3,3,2,2,2,2,3,1,2015
R_4SEYvV2M37vxLbn,0,3,1,3,1,1,3,1,3,3,1,3,1,1,2,1,1,2,1,2015
R_d43DzP6hnbOk9YV,0,2,3,1,2,4,3,2,2,3,1,2,2,2,2,1,1,3,3,2015
R_dmbXMuPabNLnhtz,0,4,4,4,2,2,3,1,3,3,1,4,1,2,4,2,3,4,1,2015
R_71YCetsyPc7Zptj,0,4, ,2,1,2,3,1,3,2,1,4,2,2,4,1,4,4,1,2015
R_8GNU64mkCWSjrAp,0,4,2,2, ,4,4,1,3,3,1,4,2,1,2,4,2,4,1,2015
R_8I04zgkBM6OCC45,0,3,2,3,2,3,3,2,3,3,1,4,2,2,3,3,2,3,2,2015
R_6K9S20VqSY0u8kZ,0,4,3,1,2,2,4,1,2,3,1,4,3,2,2,3,2,2,3,2015
R_dajufdiiW2McV25,0,4,3,2,1,4,4,1,3,4,1,4,2,3,2,3,2,4,2,2015
R_diE8oVswCP3yxHn,0,3,4,3,2,3,3,2,2,3,1,4,2,4,3,2,2,3,2,2015
R_2bJD9tiVlc0XPxj,0,4,3,3,3,2,3,2,1,2,2,4,1,3,2,3,2,2,1,2015
R_1NqY85Acu3Yn6sZ,0,3,4,2,2,3,3,1,2,3,1,4,1,2,2,1,2,3,2,2015
R_bwrlwnTN3XiKSVf,0,4,3,3,2,4,3,2,4,3,1, ,1,3,2,1,2,4,1,2015
R_26uFbthJmcNlP2l,0,4,1,3,1,3,4,1,4,4,3,4,1,1,3,2,4,4,1,2015
R_8Hf2yWOvlE5ThYx,0,3,2,2,1,3,3,1,4,4,1,4,3,2,4,2,3,4,1,2015
R_06rEksFD7s3mjUF,0,4,3, ,2,4,3,1,4,3,1,4,2,2, ,1,3,4,2,2015
R_3DAaCB5vto9jcdT,0,4,1,3,2,3,3,1,4,4,1,4,2,1,3,2,3,1,1,2015
R_5jXHeROUOey9iqp,0,4,2,3,2,4,3,2,2,3,1,4,2,3,2,2,2,3,1,2015
R_9RAkZ0kCsZwL1KR,0,4,4,3,2,3,3,1,2,3,1,4,3,2,3,2,1,3,2,2015
R_ahHuVDHGUA36O8d,0,4,2,4,1,4,4,1,4,3,1,4,1,1,1,1,2,3,1,2015
R_080uMoDl5j9khnv,0,3,3,3,4,3,3,2, ,2,2,3,1,3,2,4,3,3,4,2015
R_4UBwXJ9nC5DvNUp,0,4,2,2,1,2,3,2,1,1,1,3,2,1,3,2,1,2,3,2015
R_esoWaAPWU1xD8a1,0,3,3,2,3,2,2,2,2,3,2,3,2,2,2,2,3,3,2,2015
R_0D2cCtB2aaiEiZn,0,3,3,2,1,3,3,1,3,3,2,4,1,4,3,3,2,2,2,2015
R_6Al8etmBGYuiqW1,0,4,4,3,2,4,4,2,4,3,1,4,2,2,3,2,2,4,1,2015
R_9LHOeDTt0wuGRut,0,4,3,2,2,4,3,1,2,2,1,3,1,2,2,2,2,3,2,2015
R_9GLspG4axed8Dzv,0,2,1,1,2,4,2,2,2,1,2,1,2,1,2,1,1,1,1,2015
R_5jypnnp06nSoNOB,0,3,2,3,1,4,3,1,4,3,1,4,2,2,1,3,3,4,1,2015
R_1zB8LKmZnj8pj5H,0,3,1,3,1,4,3,1,4,3,1,4,2,2,3,3,4,3,1,2015
R_eaL2EKsDmYlVL6d,0,4,1,4,1,1,3,1,4,3,1,4,1,1,4,2,3,4,1,2015
R_eLrrepznyxhlgIl,0,2,1,2,1,2,2,3,2,1,1,2,1,1,1,3,1,1,1,2015
R_1zx6xRji4miTycJ,0,4,3,4,2,3,4,1,4,2,2,4,1,3,2,4,3,2,2,2015
R_4OCLMZQvTSEiVZH,0,3,2,2,3,3,2,3,3,3,2,3,2,2,2,4,2,2,2,2015
R_1BxUcIc75cUv9CB,0,4,3,3,1,2,4,1,4,4,1,4,2,2,4,2,3,4,1,2015
R_5yDyeOxB6P0DNcN,0,4,2, ,4,4,4,1,4,4,1,4,1,1,4,1,1,4,2,2015
R_8w4Z3fN2GtWT4KV,0,2,2,2,2,2,2,1,1,2,2,3,1,1,1,3,3,1,2,2015
R_eYidjhG4ksJ1TSd,0,2,3,1,3,2,2,3,2,2,1,3,2,1,2,3,1,2,2,2015
R_e8lMyc9yqK45ZL7,0, , , , , , , , , , , , , , , , , , ,2015
R_3eFRykZY3FLAlz7,0,3,3,2,1,2,2,2,2,2,1,4,2,4,2,1,2,2,1,2015
R_5pVUQuXGXDQLZUp,0,4,3,2,2,4,2,1,1,2,1,4,1,4,1,3,2,2,2,2015
R_2oarJrICBExi1XT,0,4,4,3,2,3,3,3,3,4,1,3,2,4,3,1,2,2,4,2015
R_9S0sjrVtUZ9XA4B,0,1,2,1,2,3,2,4,3,1,4,1,1,3,1,2,1,1,4,2015
R_8IKTRXua6DTl37v,0,4,2,2,1,2,3,1,3,2,1,4,1,1,2,2,2,3,1,2015
R_eURJ6dQyEuTJH9z,0,3,2,2,2,1,2,4,3,4,2,3,2,2,3,2,2,3,3,2015
R_88lzDVLwLHhYQkd,0,4,2,3,2,4,3,2,3,3,2,3,2,2,3,4,3,2,2,2015
R_b8ZLbjt8o9KxUb3,0,2,2,2,3,3,2,1,4,1,2,3,2,1,1,4,2,2,1,2015
R_2ipcroDvbrJD4rP,0,3,2,3,1,3,3,1,3,3,1,4,2,2,2,2,3,3,2,2015
R_aXcxQ3SX1tRYAK1,0,3,2,3,1,2,3,1,3,3,1,4,1,2,2,2,2,2,1,2015
R_6LriE3kFzTeJYTH,0,3,1,3,1,1,2,1,4,3,1,3,1,2,1,1,3,2,1,2015
R_3gUJy7uFuVJb9UV,0,3,2,3,1,3,3,1,3,4,2,3,1,2,3,1,1,4,1,2015
R_87BbgIzFDB6EbOZ,0,1,4,2,1,1,4,1,2,4,1,4,1,4,4,1,4,2,4,2015
R_0e8aWSd3BDH2BOl,0,4,3,4,3,4,2,1,2,3,2,4,2,3,2,3,4,2,4,2015
R_5axmjJ8NqlXj2jH,0,4,3,3,2,4,4,1,3,3,2,4,2,3,3,2,3,3,1,2015
R_2nvF8i9iBHmr0IR,0,3,2,2,4,3,3,2,3,3,2,3,1,2,2,2,3,2,2,2015
R_cZwH6KI1afFVx3v,0,4,2,3,4,2,4,1,4,4,1,4,1,2,3,2,3,3,2,2015
R_9MoDFnk9gIzaswR,0,4,3,4,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,2015
R_ag6V5msKeMhG2Ff,0,3,2,2,3,4,3,1,3,2,3,3,1,2,2,1,3,2,2,2015
R_86dcmODtZ1P7JRz,0,3,2,3,1,2,3,1,4,4,1,4,1,1,4,1,3,3,1,2015
R_43igPrV43CtUpwh,0,4,2,1,2,3,2,3,2,1,1,2,1,1,1,1,1,1,2,2015
R_em4nexGHs6VQkSN,0,3,2,2,2,3,3,1,4,3,1,3,2,2,2,3,2,2,1,2015
R_7aCsY6Y4oqhy3Pv,0,3,2,4,2,1,3,1,3,3,1,3,2,2,3,2,3,3,1,2015
R_e2rAeX0qCt9RxNr,0,4,2,3,1,4,3,1,3,3,2,4,2,2,3,2,3,4,1,2015
R_dhZcEIUPVnSMFAF,0,3,4,3,1,2,3,1,3,4,1,3,1,4,3,1,2,3,2,2015
R_6EjdL25L9mGZ3qR,0,4,2,1,1,2, ,1,4,4,1, ,1,2,4,1,3,4,2,2015
R_3FcYJxUENeevsqx,0,3,2,1,3,2,2,1,3,2,2,2,3,1,1,3,2,1,3,2015
R_7aB4mbxTEqUzePb,0,3,2,3,2,3,2,2,3,3,1,3,2,2,2,1,1,3,1,2015
R_b7MuIhzJ36XXBul,0,4,1,3,2,2,3,2,4,2,1,4,1,1,3,2,4,4,1,2015
R_22Y8qrF9yQv91gV,0,3,2,4,1,2,4,1,3,3,2,3,1,3,1,1,1,2,1,2015
R_9Lx5gOGGlHJTSa9,0,3,1,2,1,3,2,2,2,2,1,3,2,2,2,2,3,2,2,2015
R_5gvNcr7MM7U26j3,0,3,2,1,2,2,2,2,3,3,2,3,2,2,2,3,2,1,4,2015
R_beaXfMtBPwHBUvr,0,3,1,4,2,3,3,1,2,4,2,4,1,2,3,2,2,3,1,2015
R_5jZdJzTopQHC0gB,0,3,2,2,2,2,3,1,4,3,1,2,1,1,3,1,3,4,1,2015
R_55Xm8YdvHADmOFf,0,3,2,3,2,3,2,2,4,3,1,4,2,2,2,1,2,2,2,2015
R_8w6U9qzCGz5jdGd,0,3,2,2,2,2,2,3,1,3,3,2,3,3,3,2,3,2,2,2015
R_0fI3VbaUY3i0ZPT,0,2,1,1,2,2,2,3,1,1,2,2,4,4,1,4,4,1,4,2015
R_0SOYglMwHIQZUfH,0,4,2,3,1,2,4,2,3,3,1,2,3,1,3,2,4,4,4,2015
R_5jW25Lzroz79wep,0,4,3,4,1,4,4,1,2,4,1,4,3,4,4,1,4,4,2,2015
R_cCPQDEtz8WKVZoF,0,3,1,4,1,3,3,1,2,3,1,4,1,1,4,1,3,4,1,2015
R_06RY3zB3T4csLg9,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2015
R_e4AVqWxf3XKN9EV,0,4,2,2,2,3,3,1,3,3,1,4,1,2,2,1,2,3,2,2015
R_9NygdwFG5LO3t5P,0,2,2,3,1,2,2,1,3,2,1,3,2,1,1,1,2,3,2,2015
R_cLJAVjfmnDPgRIV,0,3,2,3,1,3,3,1,4,3,1,4,1,2,4,1,4,4,1,2015
R_9obXGc7BnVAtbeZ,0,1,1,3,1,4,4,1,3,3,1,4,2,2,1,1,3,3,2,2015
R_9z7ybnmT5xoUFy5,0,3,3,1,2,3,2,2,3,2,2,4,2,1,1,2,1,2,2,2015
R_9oR0FC2BA3RNNzv,0,4,2,3,2,3,4,2,4,4,1,4,2,2,2,3,3,2,2,2015
R_4GgAxyh0W6Tn8b3,0,4,2,2,2,4,3,1,2,3,3,4,1,2,2,1,3,3,1,2015
R_eYb5ueo9ebM5bj7,0,3,3,1,2,1,2,3,2,1,1,2,3,3,1,2,1,1,3,2015
R_8pmgIQE6jxrm8PH,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2015
R_2odM0r8WuZyoy21,0,4,2,3,2,4,3,2,2,3,1,4,2,2,3,1,2,4,2,2015
R_e8WMUvgXD18euaN,0,3,2,3,2,3,2,1,3,3,2,3,2,1,2,4,3,2,2,2015
R_0BVeCy6LCPq9nF3,0,3,2,2,1,4,4,1,3,3,1,4,2,4,2,3,3,3,1,2015
R_6SxWHBMUeC5W3ch,0,3,3,3,1,2,3,1,2,3,1,4,1,2,3,1,3,3,1,2015
R_41kD0mdUvf7uP8F,0, , , , , , , , , , , , , , , , , , ,2015
R_1L07OVS5UfDdb5X,0,4,1,3,3,4,4,1,3,3,2,4,2,2,2,3,2,3,2,2015
R_9LZfNRAHFKr0U73,0,3,2,2,1,2,1,1,3,1,1,3,2,3,2,4,4,3,2,2015
R_0JaXO8kiZV6aPWZ,0,3,2,3,1,3,3,1,3,3,2,3,1,2,2,2,3,3,2,2015
R_0Pdc16ccYo9ifxb,0,4,3,3,1,3,2,1,3,2,1,4,1,2,2,1,2,2,1,2015
R_ewEeNTiTK9qfq7z,0,3,2,4,1,2,3,1,3,3,2,3,2,2,4,3,2,4,1,2015
R_cSklLsdUOAHmsMR,0,3,2,4,1,2,3,1,3,3,1,4,1,2,3,2,3,4,3,2015
R_bkJBOsVc0dTwhG5,0,4,3,3,1,3,3,1,3,3,1,4,2,2,4,1,4,4,3,2015
R_eL1hho0fgBEvxKR,0,4,3,1,1,4,2,3,4,3,2,3,2,1,1,2,3,2,2,2015
R_6PVvKQNk5iG8O8J,0,3,4,2,2,3,2,2,2,2,3,2,1,3,1,4,2,1,3,2015
R_4TOXhCxQj1HcBw1,0,3,2,4,1,3,4,1,3,2,3,3,2,3,2,1,2,2,1,2015
R_eqWTvQfVWA8HxBz,0,3,3,2,1,2,2,1,4,4,1,4,1,2,1,1,1,3,1,2015
R_ePA2zrZAmzlK2dn,0,3,2,3,2,3,3,1,2,3,1,2,1,3,2,2,3,3,1,2015
R_5jOBIdkT72FLpfD,0,3,4,2,1,1,3,1,2,3,1,3,1,4,2,2,3,1,1,2015
R_6GaUfbBpOHMhdsN,0,4,3,2,2,4,3,4,3,3,2,4,1,2,2,1,2,3,2,2015
R_55rEsocR7Jk1IrP,0,4,3,2,1,4,4,2,4,4,3,4,3,1,2,3,3,3,3,2015
R_6WnTCVIGsZwYt5r,0,4,3,4,1,4,4,1,4,4,2,1,3,4,3,4,2,4,2,2015
R_e9XxYzd6m4gIqpL,0,4,2,4,2,3,4,1,3,3,1,4,2,2,4,2,2,4,1,2015
R_bEshthTziRQoxoh,0,4,2,3,1,3,3,1,4,3,1,4,2,2,3,1,2,3,1,2015
R_3Q5LGZLjS1JKyah,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015
R_bmiqnCnR5nEOgdf,0,3,2,2,1,2,2,1,2,2,2,3,2,2,2,1,2,2,1,2015
R_cHDnx6WWSpbKDJz,0,4,2,2,1,4,4,1,4,2,1,4,2,4,4,1,2,2,2,2015
R_0iDFfGuqxgVfDyl,0,3,2,2,2,3,3,2,4,2,1,4,2,3,3,1,1,2,2,2015
